region_id,geography_type,state_name,date,home_value
9,State,California,2000-01-31,191143.06246122328
54,State,Texas,2000-01-31,115824.23021073276
14,State,Florida,2000-01-31,109667.67594481845
43,State,New York,2000-01-31,154042.63041942933
47,State,Pennsylvania,2000-01-31,101714.64427445854
21,State,Illinois,2000-01-31,132356.76526689666
44,State,Ohio,2000-01-31,107627.22553566031
16,State,Georgia,2000-01-31,128435.40679350116
36,State,North Carolina,2000-01-31,131918.66032426388
30,State,Michigan,2000-01-31,119726.03345754488
40,State,New Jersey,2000-01-31,172645.95979116438
56,State,Virginia,2000-01-31,126997.32289485402
59,State,Washington,2000-01-31,178943.2295979611
8,State,Arizona,2000-01-31,137256.42606290831
26,State,Massachusetts,2000-01-31,201183.10584205217
53,State,Tennessee,2000-01-31,114774.13438953954
22,State,Indiana,2000-01-31,100118.68020468311
27,State,Maryland,2000-01-31,154421.1214504902
32,State,Missouri,2000-01-31,99451.6762182122
60,State,Wisconsin,2000-01-31,124257.70039815556
10,State,Colorado,2000-01-31,180680.69827044196
31,State,Minnesota,2000-01-31,128207.04081087408
51,State,South Carolina,2000-01-31,116488.77953708675
4,State,Alabama,2000-01-31,102642.57245237847
25,State,Louisiana,2000-01-31,111913.82990494063
24,State,Kentucky,2000-01-31,91927.39937463452
46,State,Oregon,2000-01-31,154578.5189462672
45,State,Oklahoma,2000-01-31,85014.7080834341
11,State,Connecticut,2000-01-31,166393.00594661824
55,State,Utah,2000-01-31,171657.09940268955
19,State,Iowa,2000-01-31,93437.69018927314
42,State,Nevada,2000-01-31,158009.99791738443
6,State,Arkansas,2000-01-31,90298.82902428802
34,State,Mississippi,2000-01-31,91385.36880570887
23,State,Kansas,2000-01-31,91416.57162395134
41,State,New Mexico,2000-01-31,
38,State,Nebraska,2000-01-31,118496.43545850522
20,State,Idaho,2000-01-31,127046.361613209
61,State,West Virginia,2000-01-31,75052.66532650546
18,State,Hawaii,2000-01-31,195216.1648152442
39,State,New Hampshire,2000-01-31,137425.61890177857
28,State,Maine,2000-01-31,110319.9627842246
50,State,Rhode Island,2000-01-31,135992.6605638664
35,State,Montana,2000-01-31,
13,State,Delaware,2000-01-31,151507.302182514
52,State,South Dakota,2000-01-31,110320.7882868499
37,State,North Dakota,2000-01-31,
3,State,Alaska,2000-01-31,138486.5123148091
12,State,District of Columbia,2000-01-31,163137.34848177116
58,State,Vermont,2000-01-31,119324.70997919796
62,State,Wyoming,2000-01-31,
9,State,California,2000-02-29,191785.55134676368
54,State,Texas,2000-02-29,115887.17208927708
14,State,Florida,2000-02-29,109905.22633954124
43,State,New York,2000-02-29,154591.1735013856
47,State,Pennsylvania,2000-02-29,101932.20419554564
21,State,Illinois,2000-02-29,132462.83690037846
44,State,Ohio,2000-02-29,107692.995533589
16,State,Georgia,2000-02-29,128727.06139242488
36,State,North Carolina,2000-02-29,132119.35751337995
30,State,Michigan,2000-02-29,119791.9756984078
40,State,New Jersey,2000-02-29,173111.3527166277
56,State,Virginia,2000-02-29,127325.94524810492
59,State,Washington,2000-02-29,179346.86096890742
8,State,Arizona,2000-02-29,137505.0378018472
26,State,Massachusetts,2000-02-29,201854.78930874052
53,State,Tennessee,2000-02-29,114869.87997179078
22,State,Indiana,2000-02-29,99981.01932993808
27,State,Maryland,2000-02-29,154399.70362500424
32,State,Missouri,2000-02-29,99568.24124533664
60,State,Wisconsin,2000-02-29,124221.63708010688
10,State,Colorado,2000-02-29,181322.2450703529
31,State,Minnesota,2000-02-29,128638.59042289894
51,State,South Carolina,2000-02-29,116745.93984010429
4,State,Alabama,2000-02-29,102821.31011450908
25,State,Louisiana,2000-02-29,112129.7015728076
24,State,Kentucky,2000-02-29,91974.861039632
46,State,Oregon,2000-02-29,154918.45353424404
45,State,Oklahoma,2000-02-29,85049.77686626576
